sentence,relation,enhanced_sentence,label_id
The system as described above has its greatest application in an arrayed <e1>configuration</e1> of antenna <e2>elements</e2>.,3,The system as described above has its greatest application in an arrayed <e1>configuration</e1> of antenna <e2>elements</e2>. [SEP] configuration: an arrangement of parts or elements [KG: No data] [SEP] elements: violent or severe weather (viewed as caused by the action of the four elements) [KG: No data],3
The <e1>child</e1> was carefully wrapped and bound into the <e2>cradle</e2> by means of a cord.,18,The <e1>child</e1> was carefully wrapped and bound into the <e2>cradle</e2> by means of a cord. [SEP] child: a young person of either sex [KG: http://www.wikidata.org/prop/direct/P1629: child; http://www.wikidata.org/prop/direct/P1687: child; http://www.wikidata.org/prop/direct/P1889: child; http://www.wikidata.org/prop/direct/P1687: child; http://www.wikidata.org/prop/direct/P1889: child] [SEP] cradle: a baby bed with sides and rockers [KG: No data],18
The <e1>author</e1> of a keygen uses a <e2>disassembler</e2> to look at the raw assembly code.,11,The <e1>author</e1> of a keygen uses a <e2>disassembler</e2> to look at the raw assembly code. [SEP] author: writes (books or stories or articles or the like) professionally (for pay) [KG: http://www.wikidata.org/prop/direct/P1629: author; http://www.wikidata.org/prop/direct/P1687: author] [SEP] disassembler: N/A [KG: No data],11
A misty <e1>ridge</e1> uprises from the <e2>surge</e2>.,18,A misty <e1>ridge</e1> uprises from the <e2>surge</e2>. [SEP] ridge: a long narrow natural elevation or striation [KG: No data] [SEP] surge: a sudden forceful flow [KG: No data],18
The <e1>student</e1> <e2>association</e2> is the voice of the undergraduate student population of the State University of New York at Buffalo.,12,The <e1>student</e1> <e2>association</e2> is the voice of the undergraduate student population of the State University of New York at Buffalo. [SEP] student: a learner who is enrolled in an educational institution [KG: http://www.wikidata.org/prop/direct/P1629: student; http://www.wikidata.org/prop/direct/P1687: student] [SEP] association: a formal organization of people or groups of people [KG: http://www.wikidata.org/prop/direct/P279: association; http://www.wikidata.org/prop/direct/P279: association; http://www.wikidata.org/prop/direct/P279: association],12
This is the sprawling <e1>complex</e1> that is Peru's largest <e2>producer</e2> of silver.,18,This is the sprawling <e1>complex</e1> that is Peru's largest <e2>producer</e2> of silver. [SEP] complex: a conceptual whole made up of complicated and related parts [KG: No data] [SEP] producer: someone who manufactures something [KG: http://www.wikidata.org/prop/direct/P1629: producer; http://www.wikidata.org/prop/direct/P1687: producer],18
The current view is that the chronic <e1>inflammation</e1> in the distal part of the stomach caused by Helicobacter pylori <e2>infection</e2> results in an increased acid production from the non-infected upper corpus region of the stomach.,1,The current view is that the chronic <e1>inflammation</e1> in the distal part of the stomach caused by Helicobacter pylori <e2>infection</e2> results in an increased acid production from the non-infected upper corpus region of the stomach. [SEP] inflammation: a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat [KG: No data] [SEP] infection: the pathological state resulting from the invasion of the body by pathogenic microorganisms [KG: No data],1
<e1>People</e1> have been moving back into <e2>downtown</e2>.,6,<e1>People</e1> have been moving back into <e2>downtown</e2>. [SEP] People: (plural) any group of human beings (men or women or children) collectively [KG: http://www.wikidata.org/prop/direct/P1889: People; http://www.wikidata.org/prop/direct/P1889: People; http://www.wikidata.org/prop/direct/P1889: People; http://www.wikidata.org/prop/direct/P361: People; http://www.wikidata.org/prop/direct/P1889: People] [SEP] downtown: the central area or commercial center of a town or city [KG: No data],6
The <e1>lawsonite</e1> was contained in a <e2>platinum crucible</e2> and the counter-weight was a plastic crucible with metal pieces.,4,The <e1>lawsonite</e1> was contained in a <e2>platinum crucible</e2> and the counter-weight was a plastic crucible with metal pieces. [SEP] lawsonite: N/A [KG: No data] [SEP] platinum crucible: N/A [KG: No data],4
The solute was placed inside a beaker and 5 mL of the <e1>solvent</e1> was pipetted into a 25 mL glass <e2>flask</e2> for each trial.,6,The solute was placed inside a beaker and 5 mL of the <e1>solvent</e1> was pipetted into a 25 mL glass <e2>flask</e2> for each trial. [SEP] solvent: a liquid substance capable of dissolving other substances [KG: http://www.wikidata.org/prop/direct/P1629: solvent; http://www.wikidata.org/prop/direct/P1687: solvent] [SEP] flask: bottle that has a narrow neck [KG: No data],6
The fifty <e1>essays</e1> collected in this <e2>volume</e2> testify to most of the prominent themes from Professor Quispel's scholarly career.,12,The fifty <e1>essays</e1> collected in this <e2>volume</e2> testify to most of the prominent themes from Professor Quispel's scholarly career. [SEP] essays: an analytic or interpretive literary composition [KG: No data] [SEP] volume: the amount of 3-dimensional space occupied by an object [KG: http://www.wikidata.org/prop/direct/P1629: volume; http://www.wikidata.org/prop/direct/P1889: volume; http://www.wikidata.org/prop/direct/P1889: volume; http://www.wikidata.org/prop/direct/P279: volume; http://www.wikidata.org/prop/direct/P1889: volume],12
Their <e1>composer</e1> has sunk into <e2>oblivion</e2>.,18,Their <e1>composer</e1> has sunk into <e2>oblivion</e2>. [SEP] composer: someone who composes music as a profession [KG: http://www.wikidata.org/prop/direct/P1629: composer; http://www.wikidata.org/prop/direct/P1687: composer] [SEP] oblivion: the state of being disregarded or forgotten [KG: No data],18
The Pulitzer Committee issues an official <e1>citation</e1> explaining the <e2>reasons</e2> for the award.,14,The Pulitzer Committee issues an official <e1>citation</e1> explaining the <e2>reasons</e2> for the award. [SEP] citation: an official award (as for bravery or service) usually given as formal public statement [KG: No data] [SEP] reasons: a rational motive for a belief or action [KG: No data],14
The <e1>burst</e1> has been caused by water hammer <e2>pressure</e2>.,1,The <e1>burst</e1> has been caused by water hammer <e2>pressure</e2>. [SEP] burst: the act of exploding or bursting [KG: No data] [SEP] pressure: the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit) [KG: http://www.wikidata.org/prop/direct/P1269: pressure],1
Even commercial <e1>networks</e1> have moved into <e2>high-definition broadcast</e2>.,11,Even commercial <e1>networks</e1> have moved into <e2>high-definition broadcast</e2>. [SEP] networks: an interconnected system of things or people [KG: No data] [SEP] high-definition broadcast: N/A [KG: No data],11
It was a friendly <e1>call</e1> to remind them about the <e2>bill</e2> and make sure they have a copy of the invoice.,14,It was a friendly <e1>call</e1> to remind them about the <e2>bill</e2> and make sure they have a copy of the invoice. [SEP] call: a telephone connection [KG: No data] [SEP] bill: a statute in draft before it becomes law [KG: No data],14
"Texas-born <e1>virtuoso</e1> finds harmony, sophistication in Appalachian <e2>instrument</e2>.",11,"Texas-born <e1>virtuoso</e1> finds harmony, sophistication in Appalachian <e2>instrument</e2>. [SEP] virtuoso: someone who is dazzlingly skilled in any field [KG: No data] [SEP] instrument: a device that requires skill for proper use [KG: No data]",11
"The <e1>factory</e1>'s products have included flower pots, Finnish rooster-whistles, pans, <e2>trays</e2>, tea pots, ash trays and air moisturisers.",17,"The <e1>factory</e1>'s products have included flower pots, Finnish rooster-whistles, pans, <e2>trays</e2>, tea pots, ash trays and air moisturisers. [SEP] factory: a plant consisting of one or more buildings with facilities for manufacturing [KG: No data] [SEP] trays: an open receptacle for holding or displaying or serving articles or food [KG: No data]",17
The girl showed a photo of apple <e1>tree</e1> <e2>blossom</e2> on a fruit tree in the Central Valley.,3,The girl showed a photo of apple <e1>tree</e1> <e2>blossom</e2> on a fruit tree in the Central Valley. [SEP] tree: a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms [KG: http://www.wikidata.org/prop/direct/P144: tree; http://www.wikidata.org/prop/direct/P138: tree; http://www.wikidata.org/prop/direct/P1299: tree; http://www.wikidata.org/prop/direct/P4969: tree; http://www.wikidata.org/prop/direct/P180: tree] [SEP] blossom: reproductive organ of angiosperm plants especially one having showy or colorful parts [KG: No data],3
